0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
111,12,9,64,1,10,128,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,4,1,6,1,7,0.75940
83,20,4,256,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,1,5,0,6,0.75820
83,20,4,167,12,7,256,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,4,1,6,0,7,0.75820
203,20,10,128,1,5,64,1,9,100,12,3,64,1,9,0,0,0,0,0,0,0,0,0,0,2,1,3,1,5,0,9,0.72580
203,20,10,128,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1,5,1,6,0.75260
83,20,4,128,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,4,1,5,0,0,0.74360
111,12,9,64,1,10,128,1,5,128,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,4,1,7,1,8,0.76340
83,20,4,256,1,4,256,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,1,6,1,7,0.76900
83,20,4,256,1,7,256,1,4,256,1,4,128,1,5,0,0,0,0,0,0,0,0,0,0,2,1,3,1,8,1,9,0.76920
83,20,4,256,1,4,256,1,4,264,20,10,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,1,6,1,7,0.73600
83,20,4,256,1,7,256,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,1,6,0,7,0.75160
111,12,9,64,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,4,1,5,0,6,0.70120
203,20,10,232,40,5,128,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,4,1,6,0,7,0.75780
203,20,10,152,40,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,1,4,1,5,0.67340
83,20,4,256,1,4,152,40,3,128,1,3,64,1,9,0,0,0,0,0,0,0,0,0,1,2,0,5,1,8,0,0,0.72060
203,20,10,256,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,1,5,1,6,0.79080
83,20,4,128,1,5,176,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,4,1,5,0,0,0.74000
83,20,4,167,12,7,256,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,4,1,6,1,7,0.76900
203,20,10,128,1,5,176,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1,5,1,6,0.74780
83,20,4,256,1,4,256,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,3,1,6,0,7,0.73780
203,20,10,128,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,1,5,1,6,0.75040
83,20,4,256,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,4,0,5,0,0,0.73760
83,20,4,256,1,4,152,40,3,128,1,3,64,1,9,0,0,0,0,0,0,0,0,0,1,2,0,3,0,6,1,9,0.71420
203,20,10,232,40,5,128,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,1,6,0,7,0.75840
203,20,10,232,40,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,4,1,5,0,6,0.71040
83,20,4,128,1,5,128,1,5,176,12,4,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,4,1,6,1,7,0.74720
83,20,4,128,1,5,128,1,3,64,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,4,1,7,0,0,0.72740
203,20,10,232,40,5,256,1,4,256,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,4,1,7,0,0,0.77500
83,20,4,128,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,3,1,5,1,6,0.70960
203,20,10,128,1,5,176,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,1,5,1,6,0.75100
203,20,10,128,1,5,128,1,5,176,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,1,6,1,7,0.76520
83,20,4,256,1,4,152,40,3,128,1,3,64,1,9,0,0,0,0,0,0,0,0,0,1,2,0,3,0,6,0,9,0.69700
83,20,4,128,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,1,5,0,6,0.72180
